"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 724.6000, -68.545,  724.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 724.8000, -68.539,  724.8000, -88.951,  , ,  , ,  , ,  , ,  , 
 725.0000, -68.575,  725.0000, -86.451,  , ,  , ,  , ,  , ,  , 
 725.2000, -68.618,  725.2000, -85.409,  , ,  , ,  , ,  , ,  , 
 725.4000, -68.563,  725.4000, -85.444,  , ,  , ,  , ,  , ,  , 
 725.6000, -68.471,  725.6000, -90.227,  , ,  , ,  , ,  , ,  , 
 725.8000, -68.488,  725.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 726.0000, -68.546,  726.0000, -90.421,  , ,  , ,  , ,  , ,  , 
 726.2000, -68.570,  726.2000, -86.599,  , ,  , ,  , ,  , ,  , 
 726.4000, -68.555,  726.4000, -86.991,  , ,  , ,  , ,  , ,  , 
 726.6000, -68.587,  726.6000, -91.117,  , ,  , ,  , ,  , ,  , 
 726.8000, -68.613,  726.8000,-210.000,  , ,  , ,  , ,  , ,  , 
 727.0000, -68.597,  727.0000,-210.000,  , ,  , ,  , ,  , ,  , 
 727.2000, -68.575,  727.2000,-210.000,  , ,  , ,  , ,  , ,  , 
 727.4000, -68.610,  727.4000,-210.000,  , ,  , ,  , ,  , ,  , 
 727.6000, -68.674,  727.6000,-210.000,  , ,  , ,  , ,  , ,  , 
 727.8000, -68.649,  727.8000, -96.397,  , ,  , ,  , ,  , ,  , 
 728.0000, -68.570,  728.0000, -94.655,  , ,  , ,  , ,  , ,  , 
 728.2000, -68.564,  728.2000, -94.788,  , ,  , ,  , ,  , ,  , 
 728.4000, -68.620,  728.4000, -94.450,  , ,  , ,  , ,  , ,  , 
 728.6000, -68.612,  728.6000, -92.241,  , ,  , ,  , ,  , ,  , 
 728.8000, -68.614,  728.8000, -86.861,  , ,  , ,  , ,  , ,  , 
 729.0000, -68.640,  729.0000, -85.728,  , ,  , ,  , ,  , ,  , 
 729.2000, -68.652,  729.2000, -84.593,  , ,  , ,  , ,  , ,  , 
 729.4000, -68.629,  729.4000, -82.990,  , ,  , ,  , ,  , ,  , 
 729.6000, -68.571,  729.6000, -83.658,  , ,  , ,  , ,  , ,  , 
 729.8000, -68.559,  729.8000, -84.427,  , ,  , ,  , ,  , ,  , 
 730.0000, -68.570,  730.0000, -84.064,  , ,  , ,  , ,  , ,  , 
 730.2000, -68.551,  730.2000, -83.040,  , ,  , ,  , ,  , ,  , 
 730.4000, -68.532,  730.4000, -82.027,  , ,  , ,  , ,  , ,  , 
 730.6000, -68.521,  730.6000, -81.890,  , ,  , ,  , ,  , ,  , 
 730.8000, -68.463,  730.8000, -82.344,  , ,  , ,  , ,  , ,  , 
 731.0000, -68.389,  731.0000, -82.578,  , ,  , ,  , ,  , ,  , 
 731.2000, -68.392,  731.2000, -83.558,  , ,  , ,  , ,  , ,  , 
 731.4000, -68.435,  731.4000, -84.630,  , ,  , ,  , ,  , ,  , 
 731.6000, -68.456,  731.6000, -83.875,  , ,  , ,  , ,  , ,  , 
 731.8000, -68.468,  731.8000, -84.643,  , ,  , ,  , ,  , ,  , 
 732.0000, -68.477,  732.0000, -86.609,  , ,  , ,  , ,  , ,  , 
